gender,age,under_30,senior_citizen,partner,dependents,number_of_dependents,married,paperless_billing,monthly_ charges,avg_monthly_long_distance_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,tenure,internet_service_x,phone_service_x,multiple_lines,avg_monthly_gb_download,unlimited_data,referred_a_friend,number_of_referrals,cltv,churn_value,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,contract_One Year,contract_Two Year,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,offer_Offer B,offer_Offer C,offer_Offer D,offer_Offer E,internet_type_DSL,internet_type_Fiber Optic
0,37,0,0,1,0,0,1,1,65.6,42.39,593.3,0.0,0,381.51,974.81,9,1,1,0,16,1,1,2,2205,0,0,1,0,1,1,0,0,True,False,False,False,True,False,False,False,False,False,False
1,46,0,0,0,0,0,0,0,59.9,10.69,542.4,38.33,10,96.21,610.28,9,1,1,1,10,0,0,0,5414,0,0,0,0,0,0,1,1,False,False,False,False,True,False,False,False,False,False,False
1,50,0,0,0,0,0,0,1,73.9,33.65,280.85,0.0,0,134.6,415.45,4,1,1,0,30,1,0,0,4479,1,0,0,1,0,0,0,0,False,False,False,True,False,False,False,False,True,False,True
1,78,0,1,1,0,0,1,1,98.0,27.82,1237.85,0.0,0,361.66,1599.51,13,1,1,0,4,1,1,1,3714,1,0,1,1,0,1,1,0,False,False,False,True,False,False,False,True,False,False,True
0,75,0,1,1,0,0,1,1,83.9,7.38,267.4,0.0,0,22.14,289.54,3,1,1,0,11,1,1,3,3464,1,0,0,0,1,1,0,0,False,False,False,False,True,False,False,False,False,False,True
0,23,1,0,0,1,3,0,1,69.4,16.77,571.45,0.0,0,150.93,722.38,9,1,1,0,73,1,0,0,5108,0,0,0,0,1,1,1,1,False,False,True,False,False,False,False,False,True,False,False
0,67,0,1,1,0,0,1,1,109.7,9.96,7904.25,0.0,0,707.16,8611.41,71,1,1,0,14,1,1,1,5011,0,1,1,1,1,1,1,1,False,True,False,False,False,False,False,False,False,False,True
1,52,0,0,1,0,0,1,1,84.65,12.96,5377.8,0.0,20,816.48,6214.28,63,1,1,1,7,0,1,8,4604,0,1,0,0,1,0,0,0,False,True,True,False,False,True,False,False,False,False,True
0,68,0,1,0,0,0,0,1,48.2,10.53,340.35,0.0,0,73.71,414.06,7,1,1,0,21,1,0,0,5525,0,1,0,0,0,0,0,0,False,True,False,True,False,False,False,False,True,True,False
0,43,0,0,1,1,1,1,1,90.45,28.46,5957.9,0.0,0,1849.9,7807.8,65,1,1,1,14,1,1,3,5509,0,1,1,1,1,1,1,1,False,True,False,False,True,False,False,False,False,False,False
1,47,0,0,0,0,0,0,0,45.2,0.0,2460.55,0.0,0,0.0,2460.55,54,1,0,0,10,1,0,0,5435,0,1,0,0,1,1,0,0,False,True,True,False,False,False,False,False,False,False,False
0,25,1,0,1,1,2,1,1,116.8,16.01,8456.75,0.0,0,1152.72,9609.47,72,1,1,1,59,1,1,2,6252,0,1,1,1,1,1,1,1,False,True,True,False,False,False,False,False,False,False,True
0,58,0,0,1,0,0,1,1,68.95,18.65,351.5,0.0,0,93.25,444.75,5,1,1,0,10,1,0,0,5536,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,True
0,32,0,0,0,0,0,0,1,101.3,2.25,7261.25,0.0,0,162.0,7423.25,72,1,1,1,16,1,0,0,5513,0,1,1,1,0,1,0,0,False,True,False,False,False,False,False,False,False,False,True
0,39,0,0,0,0,0,0,0,45.05,0.0,2560.1,0.0,0,0.0,2560.1,56,1,0,0,19,1,0,0,5795,0,1,1,1,1,0,0,0,False,True,False,False,False,False,False,False,False,True,False
0,58,0,0,1,1,2,1,1,95.75,27.26,6849.4,0.0,0,1935.46,8784.86,71,1,1,1,12,1,1,9,4865,0,0,1,1,0,0,1,1,False,True,True,False,False,False,False,False,False,False,True
0,52,0,0,1,1,1,1,0,61.25,0.0,1993.2,0.0,0,0.0,1993.2,34,1,0,0,20,1,0,0,3607,0,1,0,1,1,1,1,1,True,False,False,False,True,False,False,False,False,True,False
0,72,0,1,0,0,0,0,1,72.1,7.77,72.1,0.0,0,7.77,79.87,1,1,1,1,22,1,0,0,4432,0,0,0,0,0,0,0,0,True,False,False,True,False,False,False,False,True,False,True
1,79,0,1,0,0,0,0,0,62.7,10.67,2791.5,0.0,0,480.15,3271.65,45,1,1,0,17,1,0,0,2654,1,1,0,1,0,0,1,0,True,False,True,False,False,False,False,False,False,True,False
1,67,0,1,0,0,0,0,1,25.1,0.0,25.1,0.0,0,0.0,25.1,1,1,0,0,9,1,0,0,5437,1,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False
0,79,0,1,1,0,0,1,0,25.2,31.43,1306.3,0.0,0,1571.5,2877.8,50,0,1,1,0,0,0,0,4015,0,0,0,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,False
0,26,1,0,1,0,0,1,0,94.1,43.56,1215.6,0.0,0,566.28,1781.88,13,1,1,1,52,1,1,1,2973,1,0,1,1,0,1,0,0,False,False,False,True,False,False,False,False,False,False,True
0,30,0,0,1,1,2,1,1,83.75,34.91,1849.95,0.0,0,802.93,2652.88,23,1,1,1,30,1,1,1,3585,0,0,0,0,0,1,0,0,False,False,False,True,False,False,False,True,False,False,True
0,22,1,0,0,0,0,0,0,19.85,3.12,57.2,0.0,0,9.36,66.56,3,0,1,0,0,0,0,0,5634,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False
0,34,0,0,1,0,0,1,0,20.35,12.43,76.35,0.0,0,49.72,126.07,4,0,1,0,0,0,0,0,4133,1,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,True,False,False
0,37,0,0,1,1,1,1,0,30.5,0.0,30.5,0.0,0,0.0,30.5,1,1,0,0,19,1,1,1,5171,1,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False
0,37,0,0,1,1,3,1,1,103.7,35.04,5656.75,0.0,20,1927.2,7603.95,55,1,1,0,57,0,1,10,5892,0,0,1,1,1,1,1,1,True,False,False,False,False,False,False,False,False,False,True
1,42,0,0,1,1,3,1,0,20.4,19.7,1090.6,0.0,0,1063.8,2154.4,54,0,1,0,0,0,1,3,6393,0,0,0,0,0,0,0,0,False,True,True,False,False,False,False,False,False,False,False
1,64,0,0,0,0,0,0,1,19.6,37.7,471.85,21.25,0,980.2,1430.8,26,0,1,0,0,0,0,0,3722,0,0,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False,False,False
0,47,0,0,1,1,3,1,0,19.7,38.39,1396.9,0.0,0,2648.91,4045.81,69,0,1,0,0,0,1,5,4131,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False
1,23,1,0,1,1,3,1,0,91.2,43.01,3247.55,0.0,0,1591.37,4838.92,37,1,1,0,51,1,1,1,5263,0,0,0,0,0,1,1,1,True,False,True,False,False,False,True,False,False,False,True
0,48,0,0,1,0,0,1,0,20.45,49.58,900.9,0.0,0,2429.42,3330.32,49,0,1,0,0,0,1,5,6061,0,0,0,0,0,0,0,0,True,False,False,False,False,True,False,False,False,False,False
1,28,1,0,1,0,0,1,0,115.8,43.77,7942.15,0.0,0,2888.82,10830.97,66,1,1,1,41,1,1,9,5845,0,1,1,1,1,1,1,1,True,False,False,False,False,False,False,False,False,False,True
0,28,1,0,0,0,0,0,0,20.55,23.12,1343.4,30.53,0,1549.04,2861.91,67,0,1,0,0,0,0,0,5462,0,0,0,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,False
1,33,0,0,1,1,1,1,1,39.4,0.0,825.4,0.0,0,0.0,825.4,20,1,0,0,22,1,1,4,3899,0,1,0,1,1,0,0,0,False,True,True,False,False,False,False,False,False,False,False
0,31,0,0,0,1,3,0,1,25.1,30.64,1070.15,0.0,0,1317.52,2387.67,43,0,1,1,0,0,0,0,4797,0,0,0,0,0,0,0,0,False,True,False,True,False,False,False,False,False,False,False
0,37,0,0,1,0,0,1,1,89.8,5.08,4959.6,0.0,0,279.4,5239.0,55,1,1,1,9,1,1,2,5875,0,1,0,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False,True
0,60,0,0,1,0,0,1,1,94.75,16.39,5597.65,0.0,0,967.01,6564.66,59,1,1,1,14,1,1,4,5238,0,1,1,0,0,1,0,0,False,False,False,True,False,True,False,False,False,False,True
0,48,0,0,1,1,3,1,0,20.3,19.28,224.5,0.0,0,231.36,455.86,12,0,1,0,0,0,1,3,5190,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False
1,60,0,0,1,1,3,1,1,75.75,25.26,1929.0,0.0,0,682.02,2611.02,27,1,1,1,23,1,1,7,4994,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,True
1,69,0,1,0,0,0,0,1,49.25,43.99,91.1,0.0,0,87.98,179.08,2,1,1,0,27,1,0,0,3475,1,1,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,True,False
0,20,1,0,0,0,0,0,0,78.2,48.91,2078.95,0.0,0,1320.57,3399.52,27,1,1,0,59,1,0,0,2297,0,0,1,1,1,1,1,1,True,False,False,False,True,False,True,False,False,True,False
1,31,0,0,1,1,3,1,0,25.5,23.69,630.6,44.42,0,592.25,1178.43,25,0,1,1,0,0,1,1,5230,0,0,0,0,0,0,0,0,False,True,True,False,False,False,False,False,False,False,False
1,46,0,0,1,0,0,1,1,61.6,6.45,1611.0,44.9,0,161.25,1727.35,25,1,1,0,19,1,1,5,3807,0,1,1,1,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False
